id,app_id,platforms,categories,genres,CompositeRating,header_image
37,570,"windows,mac","Multi-player,Co-op,Steam Trading Cards,Steam Workshop,SteamVR Collectibles,In-App Purchases,Valve Anti-Cheat enabled","Action,Strategy,Free to Play",0.959459,https://cdn.akamai.steamstatic.com/steam/apps/570/header.jpg?t=1714502360
34,440,"windows,mac","Multi-player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Captions available,Steam Workshop,In-App Purchases,Partial Controller Support,Valve Anti-Cheat enabled,Stats,Includes level editor,Commentary available,Remote Play on Phone,Rem","Action,Free to Play",0.798089,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/440/header.jpg?t=1695767057
411,72850,"windows,mac","Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud,Family Sharing",RPG,0.641095,https://cdn.akamai.steamstatic.com/steam/apps/72850/header.jpg?t=1647357402
36,550,"windows,mac","Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Workshop,Steam Cloud,Valve Anti-Cheat enabled,Stats,Includes Source SDK,Commentary available,Remote Play o",Action,0.571865,https://cdn.akamai.steamstatic.com/steam/apps/550/header.jpg?t=1713549936
607,218620,"windows,mac","Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Full controller support,Tracked Controller Support,VR Supported,Steam Trading Cards,In-App Purchases,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Family Sharing","Action,RPG",0.571224,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/218620/header.jpg?t=1712649983
38,620,"windows,mac","Single-player,Multi-player,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Workshop,Steam Workshop,Steam Cloud,Stats,Includes level editor,Commentary ","Action,Adventure",0.555166,https://cdn.akamai.steamstatic.com/steam/apps/620/header.jpg?t=1698805825
132,8870,"windows,mac","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Tablet,Remote Play on TV,Family Sharing",Action,0.533492,https://cdn.akamai.steamstatic.com/steam/apps/8870/header.jpg?t=1602794480
6,220,"windows,mac","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Includes Source SDK,Remote Play on Phone,Remote Play on Tablet,Remote Play Together,Family Sharing",Action,0.530308,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/220/header.jpg?t=1699003213
367,49520,"windows,mac","Single-player,Multi-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Family Sharing","Action,RPG",0.525831,https://cdn.akamai.steamstatic.com/steam/apps/49520/header.jpg?t=1693524237
1394,391540,"windows,mac","Single-player,Steam Trading Cards,Remote Play on Phone,Remote Play on Tablet,Family Sharing","Indie,RPG",0.524045,https://cdn.akamai.steamstatic.com/steam/apps/391540/header.jpg?t=1579096091
3,70,"windows,mac","Single-player,Multi-player,PvP,Online PvP,Full controller support,Steam Cloud,Valve Anti-Cheat enabled,Remote Play on Phone,Remote Play on Tablet,Remote Play Together,Family Sharing",Action,0.510573,https://cdn.akamai.steamstatic.com/steam/apps/70/header.jpg?t=1700269108
1,10,"windows,mac","Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Valve Anti-Cheat enabled,Family Sharing",Action,0.504365,https://cdn.akamai.steamstatic.com/steam/apps/10/header.jpg?t=1666823513
7,240,"windows,mac","Multi-player,Cross-Platform Multiplayer,Steam Achievements,Steam Cloud,Valve Anti-Cheat enabled,Stats,Includes Source SDK,Family Sharing",Action,0.491613,https://cdn.akamai.steamstatic.com/steam/apps/240/header.jpg?t=1666823740
1020,287700,"windows,mac","Single-player,Multi-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,In-App Purchases,Steam Cloud,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Family Sharing","Action,Adventure",0.489042,https://cdn.akamai.steamstatic.com/steam/apps/287700/header.jpg?t=1690416673
522,205100,"windows,mac","Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Remote Play on Tablet,Remote Play on TV,Family Sharing","Action,Adventure",0.487749,https://cdn.akamai.steamstatic.com/steam/apps/205100/header.jpg?t=1705604245
55,2310,"windows,mac","Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Full controller support,Steam Cloud,Remote Play Together,Family Sharing",Action,0.487558,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2310/header.jpg?t=1691683243
32,400,"windows,mac","Single-player,Steam Achievements,Full controller support,Captions available,Includes level editor,Includes Source SDK,Commentary available,Remote Play on Phone,Remote Play on Tablet,Remote Play Together,Family Sharing",Action,0.482775,https://cdn.akamai.steamstatic.com/steam/apps/400/header.jpg?t=1699003695
